Duplication,Title,Image,Power,Effect,Description,Big_Image
,Caway,res://card/battle/image/01_Caway.png,1000,,"A warrior from Universe 4 and a member of Team Universe 4. She can be considered very beautiful, having a slender, curvy figure and delicate features. Her outfit can be compared to that of a traditional elven princess",res://card/battle/image/742x1122/01_Caway.png
,Kakunsa,res://card/battle/image/02_Kakunsa.png,1200,,"A warrior from Universe 2 and a member of the Kamikaze Fireballs. She appears to be very easy going. Her poses involve her winking, and she made the V sign with her fingers when her universe was introduced.",res://card/battle/image/742x1122/02_Kakunsa.png
,Brianne de Chateau,res://card/battle/image/03_Brianne de Chateau.png,1300,,"Also called Ribrianne, is a warrior from Universe 2 and the leader of the Kamikaze Fireballs. Brianne is an individual who believes in the absolute power and strength of love, like Heles. She sees love and happiness as the most important emotion",res://card/battle/image/742x1122/03_Brianne de Chateau.png
,Towa the Demon Goddess,res://card/battle/image/04_Towa the Demon Goddess.png,1500,Buff hắc ki cho toàn đội - tăng 300 điểm sm cho mỗi lá trên sân (tồn tại trong 2 lượt),"A beautiful female demon from the Demon Realm and sister of the demon king Dabura. Towa thinks she is superior to every other being, calling them simple pests in her plan.",res://card/battle/image/742x1122/04_Towa the Demon Goddess.png
,Caulifla Super Saiyan 2,res://card/battle/image/05_Caulifla Super Saiyan 2.png,1800,[ Zenkai ],"A Saiyan from Universe 6 and the leader of a gang of Saiyan criminals. Despite her tomboyish attitude, Caulifla cares about others, especially her protégée, Kale, whom she treats like a younger sister.",res://card/battle/image/742x1122/05_Caulifla Super Saiyan 2.png
,Kale Legendary Super Saiyan,res://card/battle/image/06_Kale Legendary Super Saiyan.png,2000,[ Zenkai ],"The latest Legendary Saiyan of Universe 6. Unlike most Saiyans who are violent, assertive, or at least strong-willed, Kale is a very meek and timid individual",res://card/battle/image/742x1122/06_Kale Legendary Super Saiyan.png
,Sonic Warrior Dyspo,res://card/battle/image/07_Sonic Warrior Dyspo.png,2100,,"The Blitz Captain of the prestigious Pride Troopers of Universe 11. An arrogant warrior with a strong sense of justice, Dyspo earned his title of Sonic Warrior through his incredible combat strength and remarkable speed.",res://card/battle/image/742x1122/07_Sonic Warrior Dyspo.png
,Vegeta Super Saiyan God,res://card/battle/image/08_Vegeta Super Saiyan God.png,2300,[ Zenkai ],"The 'Super Saiyan God' is the legend among legends of the warrior race, the Saiyans. The power of six good-hearted Saiyans must be infused for one of them to achieve this legendary form.",res://card/battle/image/742x1122/08_Vegeta Super Saiyan God.png
,Lagss of the Glass Tribe,res://card/battle/image/09_Lagss of the Glass Tribe.png,2500,Đóng băng 1 lá có điểm sm từ 150% sm của lagss trở xuống ở trên sân - lá bị đóng băng sẽ vô hiệu trong lượt đó,"Lagss is a loyal member of the Core Area Warriors and very loyal to Heart. As a member of the Glass Tribe, Lagss has the innate ability to manipulate and control glass for various purposes.",res://card/battle/image/742x1122/09_Lagss of the Glass Tribe.png
,Ikari Broly,res://card/battle/image/10_Ikari Broly.png,2800,[ Zenkai ],"Wrathful is an enraged state used by Broly. According to Paragus, it is a utilization of the Great Ape form's power, physical strength, and durability in humanoid form",res://card/battle/image/742x1122/10_Ikari Broly.png
,Mystic Gohan,res://card/battle/image/11_Mystic Gohan.png,2900,[ Zenkai ],"Also called Ultimate Gohan, is a transformation of Son Gohan after Elder Kaiōshin unlocked his potential. Despite appearing to be in his normal state, Gohan is able to achieve a power beyond even Super Saiyan 3",res://card/battle/image/742x1122/11_Mystic Gohan.png
,Android 17,res://card/battle/image/12_Android 17.png,3000,Tồn tại vô hạn lượt,"The younger twin brother of Android 18 and Dr. Gero's seventeenth android creation. As noted by his sister, Android 17 is somewhat similar to Goku, showing a childlike attitude at times",res://card/battle/image/742x1122/12_Android 17.png
,Gamma 2,res://card/battle/image/13_Gamma 2.png,3100,Tồn tại 4 lượt,"Gamma 2 is a Red Ribbon Army Android created by Dr. Hedo, along with Gamma 1. Despite his original purpose, he was designed by Hedo to appear and act much like a superhero",res://card/battle/image/742x1122/13_Gamma 2.png
,Vidro of the Glass Tribe,res://card/battle/image/14_Vidro of the Glass Tribe.png,3100,,"Mostly known as the Female Warrior in Black, is a surviving member of the Glass Tribe whose planet of origin was destroyed by the Space Pirates. She is one of several ""Warriors in Black"" serve the former Supreme Kai of Time, Aeos.",res://card/battle/image/742x1122/14_Vidro of the Glass Tribe.png
,Trunks Super Saiyan Rage,res://card/battle/image/15_Trunks Super Saiyan Rage.png,3300,[ Zenkai ],"An anime-only transformation unique to Future Trunks, its name is reflective of the intense anger he felt before assuming the transformation. All anime material simply refers to Future Trunks as Super Trunks in this form.",res://card/battle/image/742x1122/15_Trunks Super Saiyan Rage.png
,Golden Frieza,res://card/battle/image/16_Golden Frieza.png,3500,,"Golden Frieza is a result of Frieza achieving a new transformation known as ""Golden Form"" or ""Golden Frieza."" However, it consumes a considerable amount of energy, and Frieza's stamina drains rapidly while using it",res://card/battle/image/742x1122/16_Golden Frieza.png
,Hit the Infallible,res://card/battle/image/17_Hit the Infallible.png,3600,Bỏ qua 1 lượt tham gia trận đấu - sử dụng khi chuản bị lật các lá bài lên,"Hit is an assassin from Universe 6. One of Hit's most notable abilities is his Time-Skip technique. With this technique, Hit can momentarily skip time by a fraction of a second",res://card/battle/image/742x1122/17_Hit the Infallible.png
,Goku Black SSJ Rose,res://card/battle/image/18_Goku Black SSJ Rose.png,3700,[ Zenkai ],"Goku Black is an alternate incarnation of Zamasu after switching body with Goku. Black mastered Goku's power and was able to unlock the ability to transform into Super Saiyan Rosé. Because he was a god, Black's hair was pink rather than blue",res://card/battle/image/742x1122/18_Goku Black SSJ Rose.png
,Grand Kaioshin,res://card/battle/image/19_Grand Kaioshin.png,3900,Miễn mọi hiệu ứng xấu,The Grand Supreme Kai is the highest of all Supreme Kais and ruled over the entire Universe 7. He still exists through Good Buu and briefly acted through him thanks to being awakened to help stop Moro.,res://card/battle/image/742x1122/19_Grand Kaioshin.png
,Toppo the Destroyer,res://card/battle/image/20_Toppo the Destroyer.png,4000,"Có thể sử dụng để Hakai 1 lá bài trên tay, lá dó chết nếu yếu hơn Toppo và ngược lại","Toppo is the leader of the heroic team, the Pride Troopers, guardians of peace within Universe 11. He is also a Destroyer-in-training to become the next God of Destruction. Top is a humble and respectful fighter who strongly believes in justice",res://card/battle/image/742x1122/20_Toppo the Destroyer.png
,Cumber The Evil Saiyan,res://card/battle/image/21_Cumber The Evil Saiyan.png,4300,"[ Zenkai ] Ki tà ác: Biến 1 lá yếu hơn thành đồng minh của mình, lá bài này bị giảm 50% điểm sm (tồn tại trong 1 lượt)","Cumber, the Evil Saiyan is an ancient Saiyan interred by Fu on the Prison Planet. He has a tendency to demand battle with strong opponents no matter the scenario, even when on the losing end of a fight he's already in",res://card/battle/image/742x1122/21_Cumber The Evil Saiyan.png
,Goku Perfected SSJ Blue,res://card/battle/image/22_Goku Perfected SSJ Blue.png,4400,"[ Zenkai ] Có thể sử dụng để Hakai 1 lá bài trên tay, lá dó chết nếu yếu hơn Goku và ngược lại","Goku developed the technique of containing his radiating aura inside his body and uses it to bolster his power. With this method, Goku had achieved mastery over the form, allowing him to realize the full potential of Super Saiyan Blue",res://card/battle/image/742x1122/22_Goku Perfected SSJ Blue.png
,Kefla Legendary SSJ2,res://card/battle/image/23_Kefla Legendary SSJ2.png,4400,[ Zenkai ],"Kefla is the Potara Fusion of Kale and Caulifla. Despite her immense confidence in her power, Kefla does seem to retain some of Caulifla's respect towards Goku. Outright calling him a ""worthy opponent"",",res://card/battle/image/742x1122/23_Kefla Legendary SSJ2.png
,Vegeta SSJ Blue Evolution,res://card/battle/image/24_Vegeta SSJ Blue Evolution.png,4500,[ Zenkai ],An extremely powerful transformation and an empowered variant of Super Saiyan Blue first achieved by Vegeta during the Tournament of Power. It is an advanced state with the power that goes beyond the limits of Super Saiyan Blue.,res://card/battle/image/742x1122/24_Vegeta SSJ Blue Evolution.png
,Orange Picolo,res://card/battle/image/25_Orange Picolo.png,4500,,Orange Piccolo is a transformation that is an evolved form of the Power Awakening state used by Piccolo. The form gives Piccolo power on par with Goku and the others,res://card/battle/image/742x1122/25_Orange Picolo.png
,Fused Zamasu,res://card/battle/image/26_Fused Zamasu.png,4700,[ Zenkai ],"The Potara fusion born between Goku Black and Future Zamasu. His tendency to hover high over the battlefield to ""look down"" on everyone both figuratively and literally, and his use of ""divine"" terms  to name his special techniques.",res://card/battle/image/742x1122/26_Fused Zamasu.png
,Anilaza The Four-Fold Union,res://card/battle/image/27_Anilaza The Four-Fold Union.png,4800,,"Agnilasa is the result of the fusion between several members of Team Universe 3. Despite never speaking and seeming to be a berserker at times, Agnilasa shows a surprising ability to adapt to the strategies of opponents",res://card/battle/image/742x1122/27_Anilaza The Four-Fold Union.png
,Cumber Super Saiyan 3,res://card/battle/image/28_Cumber Super Saiyan 3.png,5000,[ Zenkai ],"With appearance of Xeno Goku and Xeno Vegeta, both who were in Super Saiyan 4. Finding this an actual challenge, Cumber transformed into Super Saiyan 3",res://card/battle/image/742x1122/28_Cumber Super Saiyan 3.png
